Ensembl Gene ID	Ensembl Transcript ID	Description
ENSONIG00000000030	ENSONIT00000000036	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000008832}  [Source:UniProtKB/TrEMBL;Acc:I3JIY8]
ENSONIG00000000031	ENSONIT00000000037	Spi-C transcription factor (Spi-1/PU.1 related) [Source:ZFIN;Acc:ZDB-GENE-040912-47]
ENSONIG00000000032	ENSONIT00000000038	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000038}  [Source:UniProtKB/TrEMBL;Acc:I3ITU9]
ENSONIG00000000033	ENSONIT00000000039	transmembrane protein 185B [Source:HGNC Symbol;Acc:HGNC:18896]
ENSONIG00000000034	ENSONIT00000000040	myosin binding protein C, slow type [Source:ZFIN;Acc:ZDB-GENE-041114-196]
ENSONIG00000000034	ENSONIT00000000041	myosin binding protein C, slow type [Source:ZFIN;Acc:ZDB-GENE-041114-196]
ENSONIG00000000035	ENSONIT00000000042	MUS81 endonuclease homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-2923]
ENSONIG00000000036	ENSONIT00000000043	pseudouridylate synthase 10 [Source:ZFIN;Acc:ZDB-GENE-080204-5]
ENSONIG00000000036	ENSONIT00000000044	pseudouridylate synthase 10 [Source:ZFIN;Acc:ZDB-GENE-080204-5]
ENSONIG00000000037	ENSONIT00000000045	ovo-like 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-031010-37]
ENSONIG00000000037	ENSONIT00000000046	ovo-like 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-031010-37]
ENSONIG00000000038	ENSONIT00000000047	v-akt murine thymoma viral oncogene homolog 3 [Source:HGNC Symbol;Acc:HGNC:393]
ENSONIG00000000039	ENSONIT00000000048	cytidine monophosphate N-acetylneuraminic acid synthetase a [Source:ZFIN;Acc:ZDB-GENE-050420-277]
ENSONIG00000000040	ENSONIT00000000049	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000049}  [Source:UniProtKB/TrEMBL;Acc:I3ITW0]
ENSONIG00000000041	ENSONIT00000000050	cytokine receptor family member B17 [Source:ZFIN;Acc:ZDB-GENE-081022-158]
ENSONIG00000000042	ENSONIT00000000051	LTV1 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040712-1]
ENSONIG00000000043	ENSONIT00000000052	calpain 9 [Source:ZFIN;Acc:ZDB-GENE-010724-2]
ENSONIG00000000044	ENSONIT00000000053	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000053}  [Source:UniProtKB/TrEMBL;Acc:I3ITW4]
ENSONIG00000000045	ENSONIT00000000054	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000054}  [Source:UniProtKB/TrEMBL;Acc:I3ITW5]
ENSONIG00000000046	ENSONIT00000000055	R-spondin 2 [Source:ZFIN;Acc:ZDB-GENE-060503-667]
ENSONIG00000000046	ENSONIT00000000056	R-spondin 2 [Source:ZFIN;Acc:ZDB-GENE-060503-667]
ENSONIG00000000047	ENSONIT00000000057	eukaryotic translation initiation factor 3, subunit E, a [Source:ZFIN;Acc:ZDB-GENE-030131-3827]
ENSONIG00000000048	ENSONIT00000000058	choline phosphotransferase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1325]
ENSONIG00000000049	ENSONIT00000000059	ER membrane protein complex subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040625-82]
ENSONIG00000000050	ENSONIT00000000060	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits [Source:ZFIN;Acc:ZDB-GENE-030131-4714]
ENSONIG00000000051	ENSONIT00000000061	thyrotropin-releasing hormone receptor a [Source:ZFIN;Acc:ZDB-GENE-100922-18]
ENSONIG00000000052	ENSONIT00000000062	growth differentiation factor 6a [Source:ZFIN;Acc:ZDB-GENE-980526-373]
ENSONIG00000000052	ENSONIT00000000063	growth differentiation factor 6a [Source:ZFIN;Acc:ZDB-GENE-980526-373]
ENSONIG00000000053	ENSONIT00000000064	DNA-damage regulated autophagy modulator 1 [Source:ZFIN;Acc:ZDB-GENE-041010-147]
ENSONIG00000000054	ENSONIT00000000065	coiled-coil domain containing 53 [Source:ZFIN;Acc:ZDB-GENE-040426-783]
ENSONIG00000000055	ENSONIT00000000066	syntabulin (syntaxin-interacting) [Source:ZFIN;Acc:ZDB-GENE-060929-1202]
ENSONIG00000000056	ENSONIT00000000067	estrogen receptor binding site associated, antigen, 9 [Source:ZFIN;Acc:ZDB-GENE-040426-1093]
ENSONIG00000000057	ENSONIT00000000068	zgc:113263 [Source:ZFIN;Acc:ZDB-GENE-050306-34]
ENSONIG00000000058	ENSONIT00000000069	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000069}  [Source:UniProtKB/TrEMBL;Acc:I3ITY0]
ENSONIG00000000059	ENSONIT00000000070	ttk protein kinase [Source:ZFIN;Acc:ZDB-GENE-030123-1]
ENSONIG00000000059	ENSONIT00000000071	ttk protein kinase [Source:ZFIN;Acc:ZDB-GENE-030123-1]
ENSONIG00000000060	ENSONIT00000000072	asteroid homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-060503-520]
ENSONIG00000000061	ENSONIT00000000073	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor [Source:ZFIN;Acc:ZDB-GENE-030131-5987]
ENSONIG00000000062	ENSONIT00000000074	branched chain ketoacid dehydrogenase E1, beta polypeptide [Source:ZFIN;Acc:ZDB-GENE-030124-2]
ENSONIG00000000063	ENSONIT00000000075	nucleoporin 133 [Source:ZFIN;Acc:ZDB-GENE-040426-2941]
ENSONIG00000000063	ENSONIT00000000076	nucleoporin 133 [Source:ZFIN;Acc:ZDB-GENE-040426-2941]
ENSONIG00000000064	ENSONIT00000000077	family with sequence similarity 46, member A [Source:HGNC Symbol;Acc:HGNC:18345]
ENSONIG00000000065	ENSONIT00000000078	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-030131-6246]
ENSONIG00000000066	ENSONIT00000000079	actin, alpha 1a, skeletal muscle [Source:ZFIN;Acc:ZDB-GENE-050417-267]
ENSONIG00000000067	ENSONIT00000000080	Rho guanine nucleotide exchange factor (GEF) 37 [Source:HGNC Symbol;Acc:HGNC:34430]
ENSONIG00000000068	ENSONIT00000000081	cell division cycle 6 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050506-131]
ENSONIG00000000068	ENSONIT00000000082	cell division cycle 6 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050506-131]
ENSONIG00000000069	ENSONIT00000000083	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000083}  [Source:UniProtKB/TrEMBL;Acc:I3ITZ4]
ENSONIG00000000070	ENSONIT00000000084	polymerase (RNA) II (DNA directed) polypeptide B [Source:ZFIN;Acc:ZDB-GENE-041008-1]
ENSONIG00000000071	ENSONIT00000000085	ubiquitin protein ligase E3D [Source:ZFIN;Acc:ZDB-GENE-091218-3]
ENSONIG00000000072	ENSONIT00000000086	dopey family member 1 [Source:ZFIN;Acc:ZDB-GENE-050309-65]
ENSONIG00000000073	ENSONIT00000000087	WAS/WASL interacting protein family, member 2 [Source:HGNC Symbol;Acc:HGNC:30923]
ENSONIG00000000074	ENSONIT00000000088	insulin-like growth factor binding protein 7 [Source:ZFIN;Acc:ZDB-GENE-040426-2423]
ENSONIG00000000074	ENSONIT00000000089	insulin-like growth factor binding protein 7 [Source:ZFIN;Acc:ZDB-GENE-040426-2423]
ENSONIG00000000075	ENSONIT00000000090	cryptochrome 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
ENSONIG00000000076	ENSONIT00000000091	synaptotagmin X [Source:ZFIN;Acc:ZDB-GENE-041210-297]
ENSONIG00000000077	ENSONIT00000000092	myogenic factor 5 [Source:ZFIN;Acc:ZDB-GENE-000616-6]
ENSONIG00000000078	ENSONIT00000000093	lin-7 homolog A (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-040426-1665]
ENSONIG00000000079	ENSONIT00000000094	acyl-CoA synthetase short-chain family member 3 [Source:ZFIN;Acc:ZDB-GENE-060503-816]
ENSONIG00000000080	ENSONIT00000000095	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7905]
ENSONIG00000000080	ENSONIT00000000096	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7905]
ENSONIG00000000081	ENSONIT00000000097	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000098}  [Source:UniProtKB/TrEMBL;Acc:I3IU08]
ENSONIG00000000082	ENSONIT00000000098	forkhead box M1 [Source:ZFIN;Acc:ZDB-GENE-040426-1275]
ENSONIG00000000083	ENSONIT00000000099	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000100}  [Source:UniProtKB/TrEMBL;Acc:I3IU10]
ENSONIG00000000084	ENSONIT00000000100	tubby like protein 3 [Source:HGNC Symbol;Acc:HGNC:12425]
ENSONIG00000000085	ENSONIT00000000101	tripartite motif containing 35 [Source:HGNC Symbol;Acc:HGNC:16285]
ENSONIG00000000086	ENSONIT00000000102	pleiotrophin [Source:ZFIN;Acc:ZDB-GENE-030624-1]
ENSONIG00000000087	ENSONIT00000000103	myotrophin [Source:ZFIN;Acc:ZDB-GENE-040426-2166]
ENSONIG00000000088	ENSONIT00000000104	family with sequence similarity 180, member A [Source:HGNC Symbol;Acc:HGNC:33773]
ENSONIG00000000089	ENSONIT00000000105	semaphorin 3c [Source:ZFIN;Acc:ZDB-GENE-050513-5]
ENSONIG00000000090	ENSONIT00000000106	CD36 antigen [Source:ZFIN;Acc:ZDB-GENE-040718-55]
ENSONIG00000000090	ENSONIT00000000107	CD36 antigen [Source:ZFIN;Acc:ZDB-GENE-040718-55]
ENSONIG00000000091	ENSONIT00000000108	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1310]
ENSONIG00000000092	ENSONIT00000000109	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-050810-4]
ENSONIG00000000092	ENSONIT00000000110	membrane associated guanylate kinase, WW and PDZ domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-050810-4]
ENSONIG00000000093	ENSONIT00000000111	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000112}  [Source:UniProtKB/TrEMBL;Acc:I3IU22]
ENSONIG00000000094	ENSONIT00000000112	fatty acyl CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]
ENSONIG00000000095	ENSONIT00000000113	ERGIC and golgi 2 [Source:HGNC Symbol;Acc:HGNC:30208]
ENSONIG00000000096	ENSONIT00000000114	lysine (K)-specific demethylase 7Aa [Source:ZFIN;Acc:ZDB-GENE-030131-9829]
ENSONIG00000000097	ENSONIT00000000115	lysine (K)-specific methyltransferase 2E [Source:ZFIN;Acc:ZDB-GENE-030131-4120]
ENSONIG00000000097	ENSONIT00000000116	lysine (K)-specific methyltransferase 2E [Source:ZFIN;Acc:ZDB-GENE-030131-4120]
ENSONIG00000000097	ENSONIT00000000117	lysine (K)-specific methyltransferase 2E [Source:ZFIN;Acc:ZDB-GENE-030131-4120]
ENSONIG00000000098	ENSONIT00000000118	lipoma HMGIC fusion partner-like 3 [Source:ZFIN;Acc:ZDB-GENE-040801-180]
ENSONIG00000000098	ENSONIT00000000119	lipoma HMGIC fusion partner-like 3 [Source:ZFIN;Acc:ZDB-GENE-040801-180]
ENSONIG00000000099	ENSONIT00000000120	origin recognition complex, subunit 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2275]
ENSONIG00000000100	ENSONIT00000000121	COX18 cytochrome C oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:26801]
ENSONIG00000000101	ENSONIT00000000122	selenoprotein T, 2 [Source:ZFIN;Acc:ZDB-GENE-030411-4]
ENSONIG00000000102	ENSONIT00000000123	aminopeptidase puromycin sensitive [Source:ZFIN;Acc:ZDB-GENE-060524-3]
ENSONIG00000000103	ENSONIT00000000124	sequestosome 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2204]
ENSONIG00000000103	ENSONIT00000000125	sequestosome 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2204]
ENSONIG00000000104	ENSONIT00000000126	synaptosomal-associated protein 91 [Source:ZFIN;Acc:ZDB-GENE-100422-6]
ENSONIG00000000105	ENSONIT00000000127	TBC1 domain family, member 9B (with GRAM domain) [Source:HGNC Symbol;Acc:HGNC:29097]
ENSONIG00000000105	ENSONIT00000000128	TBC1 domain family, member 9B (with GRAM domain) [Source:HGNC Symbol;Acc:HGNC:29097]
ENSONIG00000000106	ENSONIT00000000129	malic enzyme 1, NADP(+)-dependent, cytosolic [Source:ZFIN;Acc:ZDB-GENE-061013-438]
ENSONIG00000000107	ENSONIT00000000130	mitochondrial ribosomal protein L45 [Source:ZFIN;Acc:ZDB-GENE-040426-1041]
ENSONIG00000000108	ENSONIT00000000131	ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]
ENSONIG00000000108	ENSONIT00000000132	ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]
ENSONIG00000000109	ENSONIT00000000133	G protein-coupled receptor 179 [Source:HGNC Symbol;Acc:HGNC:31371]
ENSONIG00000000110	ENSONIT00000000134	coagulation factor II (thrombin) receptor-like 3 [Source:HGNC Symbol;Acc:HGNC:3540]
ENSONIG00000000111	ENSONIT00000000135	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:ZFIN;Acc:ZDB-GENE-091019-1]
ENSONIG00000000111	ENSONIT00000000136	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:ZFIN;Acc:ZDB-GENE-091019-1]
ENSONIG00000000112	ENSONIT00000000137	PR domain containing 13 [Source:ZFIN;Acc:ZDB-GENE-080616-1]
ENSONIG00000000113	ENSONIT00000000138	zgc:172323 [Source:ZFIN;Acc:ZDB-GENE-080204-113]
ENSONIG00000000113	ENSONIT00000000139	zgc:172323 [Source:ZFIN;Acc:ZDB-GENE-080204-113]
ENSONIG00000000114	ENSONIT00000000140	suppressor of cytokine signaling 7 [Source:ZFIN;Acc:ZDB-GENE-080204-125]
ENSONIG00000000115	ENSONIT00000000141	si:dkey-165n16.1 [Source:ZFIN;Acc:ZDB-GENE-100922-224]
ENSONIG00000000116	ENSONIT00000000142	ubiquitin specific peptidase 45 [Source:ZFIN;Acc:ZDB-GENE-100211-2]
ENSONIG00000000116	ENSONIT00000000143	ubiquitin specific peptidase 45 [Source:ZFIN;Acc:ZDB-GENE-100211-2]
ENSONIG00000000117	ENSONIT00000000144	sp2 transcription factor [Source:ZFIN;Acc:ZDB-GENE-080410-1]
ENSONIG00000000118	ENSONIT00000000145	si:dkeyp-110e4.11 [Source:ZFIN;Acc:ZDB-GENE-070424-267]
ENSONIG00000000119	ENSONIT00000000146	ATP-binding cassette, sub-family C (CFTR/MRP), member 10 [Source:HGNC Symbol;Acc:HGNC:52]
ENSONIG00000000120	ENSONIT00000000147	PNN-interacting serine/arginine-rich protein [Source:ZFIN;Acc:ZDB-GENE-030131-362]
ENSONIG00000000120	ENSONIT00000000148	PNN-interacting serine/arginine-rich protein [Source:ZFIN;Acc:ZDB-GENE-030131-362]
ENSONIG00000000121	ENSONIT00000000149	family with sequence similarity 98, member A [Source:ZFIN;Acc:ZDB-GENE-091202-6]
ENSONIG00000000122	ENSONIT00000000150	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000151}  [Source:UniProtKB/TrEMBL;Acc:I3IU61]
ENSONIG00000000123	ENSONIT00000000151	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000152}  [Source:UniProtKB/TrEMBL;Acc:I3IU62]
ENSONIG00000000124	ENSONIT00000000152	coenzyme Q3 homolog, methyltransferase (yeast) [Source:ZFIN;Acc:ZDB-GENE-040718-364]
ENSONIG00000000125	ENSONIT00000000153	failed axon connections homolog b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-100922-19]
ENSONIG00000000125	ENSONIT00000000154	failed axon connections homolog b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-100922-19]
ENSONIG00000000126	ENSONIT00000000155	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000156}  [Source:UniProtKB/TrEMBL;Acc:I3IU66]
ENSONIG00000000126	ENSONIT00000000156	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000156}  [Source:UniProtKB/TrEMBL;Acc:I3IU66]
ENSONIG00000000127	ENSONIT00000000157	F-box and leucine-rich repeat protein 4 [Source:ZFIN;Acc:ZDB-GENE-041114-187]
ENSONIG00000000128	ENSONIT00000000158	MMS22-like, DNA repair protein [Source:ZFIN;Acc:ZDB-GENE-030131-3869]
ENSONIG00000000129	ENSONIT00000000159	protein tyrosine phosphatase, receptor type, M [Source:HGNC Symbol;Acc:HGNC:9675]
ENSONIG00000000130	ENSONIT00000000160	kelch-like 32 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-070209-47]
ENSONIG00000000130	ENSONIT00000000161	kelch-like 32 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-070209-47]
ENSONIG00000000131	ENSONIT00000000162	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000164}  [Source:UniProtKB/TrEMBL;Acc:I3IU74]
ENSONIG00000000131	ENSONIT00000000163	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000164}  [Source:UniProtKB/TrEMBL;Acc:I3IU74]
ENSONIG00000000132	ENSONIT00000000164	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000165}  [Source:UniProtKB/TrEMBL;Acc:I3IU75]
ENSONIG00000000133	ENSONIT00000000165	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000166}  [Source:UniProtKB/TrEMBL;Acc:I3IU76]
ENSONIG00000000134	ENSONIT00000000166	general transcription factor IIIC, polypeptide 1, alpha 220kDa [Source:HGNC Symbol;Acc:HGNC:4664]
ENSONIG00000000134	ENSONIT00000000167	general transcription factor IIIC, polypeptide 1, alpha 220kDa [Source:HGNC Symbol;Acc:HGNC:4664]
ENSONIG00000000135	ENSONIT00000000168	frizzled homolog 6 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040426-1451]
ENSONIG00000000136	ENSONIT00000000169	mitochondrial ribosomal protein L4 [Source:ZFIN;Acc:ZDB-GENE-050522-388]
ENSONIG00000000137	ENSONIT00000000170	collagen triple helix repeat containing 1b [Source:ZFIN;Acc:ZDB-GENE-050420-46]
ENSONIG00000000138	ENSONIT00000000171	hydrolethalus syndrome 1 [Source:HGNC Symbol;Acc:HGNC:26558]
ENSONIG00000000138	ENSONIT00000000172	hydrolethalus syndrome 1 [Source:HGNC Symbol;Acc:HGNC:26558]
ENSONIG00000000139	ENSONIT00000000173	solute carrier family 25, member 32b [Source:ZFIN;Acc:ZDB-GENE-050306-39]
ENSONIG00000000140	ENSONIT00000000174	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D, like [Source:ZFIN;Acc:ZDB-GENE-050417-171]
ENSONIG00000000141	ENSONIT00000000175	collagen, type IX, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2217]
ENSONIG00000000142	ENSONIT00000000176	ddb1 and cul4 associated factor 13 [Source:ZFIN;Acc:ZDB-GENE-040426-703]
ENSONIG00000000143	ENSONIT00000000177	regulating synaptic membrane exocytosis 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1656]
ENSONIG00000000143	ENSONIT00000000178	regulating synaptic membrane exocytosis 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1656]
ENSONIG00000000144	ENSONIT00000000179	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]
ENSONIG00000000144	ENSONIT00000000180	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]
ENSONIG00000000145	ENSONIT00000000181	Dmx-like 2 [Source:HGNC Symbol;Acc:HGNC:2938]
ENSONIG00000000145	ENSONIT00000000182	Dmx-like 2 [Source:HGNC Symbol;Acc:HGNC:2938]
ENSONIG00000000146	ENSONIT00000000183	THUMP domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1805]
ENSONIG00000000147	ENSONIT00000000184	ERI1 exoribonuclease family member 2 [Source:HGNC Symbol;Acc:HGNC:30541]
ENSONIG00000000147	ENSONIT00000000185	ERI1 exoribonuclease family member 2 [Source:HGNC Symbol;Acc:HGNC:30541]
ENSONIG00000000148	ENSONIT00000000186	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000188}  [Source:UniProtKB/TrEMBL;Acc:I3IU98]
ENSONIG00000000148	ENSONIT00000000187	Uncharacterized protein {ECO:0000313|Ensembl:ENSONIP00000000188}  [Source:UniProtKB/TrEMBL;Acc:I3IU98]
ENSONIG00000000149	ENSONIT00000000188	dendrocyte expressed seven transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18549]
ENSONIG00000000149	ENSONIT00000000189	dendrocyte expressed seven transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18549]
ENSONIG00000000150	ENSONIT00000000190	dihydropyrimidinase [Source:ZFIN;Acc:ZDB-GENE-070508-1]
ENSONIG00000000150	ENSONIT00000000191	dihydropyrimidinase [Source:ZFIN;Acc:ZDB-GENE-070508-1]
ENSONIG00000000151	ENSONIT00000000192	poly(A)-specific ribonuclease (deadenylation nuclease) [Source:ZFIN;Acc:ZDB-GENE-040426-880]
ENSONIG00000000151	ENSONIT00000000193	poly(A)-specific ribonuclease (deadenylation nuclease) [Source:ZFIN;Acc:ZDB-GENE-040426-880]
ENSONIG00000000152	ENSONIT00000000194	zinc finger protein, multitype 2a [Source:ZFIN;Acc:ZDB-GENE-060130-4]
ENSONIG00000000153	ENSONIT00000000195	collomin [Source:ZFIN;Acc:ZDB-GENE-050119-4]
ENSONIG00000000153	ENSONIT00000000196	collomin [Source:ZFIN;Acc:ZDB-GENE-050119-4]
ENSONIG00000000154	ENSONIT00000000197	oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822]
ENSONIG00000000155	ENSONIT00000000198	cytochrome P450, family 19, subfamily A, polypeptide 1a [Source:ZFIN;Acc:ZDB-GENE-990415-43]
ENSONIG00000000156	ENSONIT00000000199	protein tyrosine phosphatase type IVA, member 1 [Source:ZFIN;Acc:ZDB-GENE-041121-11]
ENSONIG00000000157	ENSONIT00000000200	lengsin, lens protein with glutamine synthetase domain [Source:ZFIN;Acc:ZDB-GENE-060312-26]
ENSONIG00000000158	ENSONIT00000000201	family with sequence similarity 83, member B [Source:HGNC Symbol;Acc:HGNC:21357]
